date,datetime,orbitProperties_pass,platform_number,relativeOrbitNumber_start,scene_id,sensor,aoi_id,event_id,window,CLOUDY_PIXEL_PERCENTAGE
2018-07-12,2018-07-12T21:35:56,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20180712T213556_20180712T213621_011783_015ADC_9A80,sentinel1,blagoveshchensk,baseline_2018_09_low,pre,
2018-07-12,2018-07-12T21:36:21,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20180712T213621_20180712T213646_011783_015ADC_4AAF,sentinel1,blagoveshchensk,baseline_2018_09_low,pre,
2018-07-17,2018-07-17T21:44:26,DESCENDING,B,105.0,S1B_IW_GRDH_1SDV_20180717T214426_20180717T214451_011856_015D29_38E9,sentinel1,blagoveshchensk,baseline_2018_09_low,pre,
2018-07-24,2018-07-24T21:35:57,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20180724T213557_20180724T213622_011958_016030_1466,sentinel1,blagoveshchensk,baseline_2018_09_low,pre,
2018-07-24,2018-07-24T21:36:22,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20180724T213622_20180724T213647_011958_016030_24DA,sentinel1,blagoveshchensk,baseline_2018_09_low,pre,
2018-07-29,2018-07-29T21:44:26,DESCENDING,B,105.0,S1B_IW_GRDH_1SDV_20180729T214426_20180729T214451_012031_01626D_C36B,sentinel1,blagoveshchensk,baseline_2018_09_low,pre,
2018-09-15,2018-09-15T21:44:29,DESCENDING,B,105.0,S1B_IW_GRDH_1SDV_20180915T214429_20180915T214454_012731_0177FD_10BD,sentinel1,blagoveshchensk,baseline_2018_09_low,peak,
2018-09-08,2018-09-08T02:33:44,,,,20180908T022551_20180908T023121_T52UCA,sentinel2,blagoveshchensk,baseline_2018_09_low,peak,0.565035
2018-09-08,2018-09-08T02:33:49,,,,20180908T022551_20180908T023121_T51UYR,sentinel2,blagoveshchensk,baseline_2018_09_low,peak,0.003703
2018-10-04,2018-10-04T21:36:01,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20181004T213601_20181004T213626_013008_018070_D2E9,sentinel1,blagoveshchensk,baseline_2018_09_low,post,
2018-10-04,2018-10-04T21:36:26,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20181004T213626_20181004T213651_013008_018070_1DE4,sentinel1,blagoveshchensk,baseline_2018_09_low,post,
2018-10-09,2018-10-09T21:44:29,DESCENDING,B,105.0,S1B_IW_GRDH_1SDV_20181009T214429_20181009T214454_013081_0182B5_C68C,sentinel1,blagoveshchensk,baseline_2018_09_low,post,
2018-10-16,2018-10-16T21:36:01,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20181016T213601_20181016T213626_013183_0185CB_1689,sentinel1,blagoveshchensk,baseline_2018_09_low,post,
2018-10-16,2018-10-16T21:36:26,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20181016T213626_20181016T213651_013183_0185CB_B56D,sentinel1,blagoveshchensk,baseline_2018_09_low,post,
2018-10-01,2018-10-01T02:43:27,,,,20181001T023551_20181001T024128_T52UCB,sentinel2,blagoveshchensk,baseline_2018_09_low,post,0.000179
2018-10-01,2018-10-01T02:43:28,,,,20181001T023551_20181001T024128_T51UYS,sentinel2,blagoveshchensk,baseline_2018_09_low,post,0.000156
2018-10-01,2018-10-01T02:43:36,,,,20181001T023551_20181001T024128_T52UDA,sentinel2,blagoveshchensk,baseline_2018_09_low,post,3.6e-05
2018-10-01,2018-10-01T02:43:41,,,,20181001T023551_20181001T024128_T52UCA,sentinel2,blagoveshchensk,baseline_2018_09_low,post,0.000464
2018-10-01,2018-10-01T02:43:43,,,,20181001T023551_20181001T024128_T51UYR,sentinel2,blagoveshchensk,baseline_2018_09_low,post,3.3e-05
2018-10-03,2018-10-03T02:33:38,,,,20181003T022549_20181003T023123_T52UDA,sentinel2,blagoveshchensk,baseline_2018_09_low,post,0.000116
2018-10-03,2018-10-03T02:33:42,,,,20181003T022549_20181003T023123_T52UCA,sentinel2,blagoveshchensk,baseline_2018_09_low,post,0.00313
2018-10-03,2018-10-03T02:33:47,,,,20181003T022549_20181003T023123_T51UYR,sentinel2,blagoveshchensk,baseline_2018_09_low,post,6.1e-05
2018-10-11,2018-10-11T02:43:27,,,,20181011T023621_20181011T024203_T52UCB,sentinel2,blagoveshchensk,baseline_2018_09_low,post,0.016009
2018-10-11,2018-10-11T02:43:29,,,,20181011T023621_20181011T024203_T51UYS,sentinel2,blagoveshchensk,baseline_2018_09_low,post,0.172375
2018-10-11,2018-10-11T02:43:36,,,,20181011T023621_20181011T024203_T52UDA,sentinel2,blagoveshchensk,baseline_2018_09_low,post,7.2e-05
2018-10-16,2018-10-16T02:43:27,,,,20181016T023659_20181016T024243_T52UCB,sentinel2,blagoveshchensk,baseline_2018_09_low,post,1.994277
2018-10-16,2018-10-16T02:43:29,,,,20181016T023659_20181016T024243_T51UYS,sentinel2,blagoveshchensk,baseline_2018_09_low,post,0.134485
2018-10-16,2018-10-16T02:43:41,,,,20181016T023659_20181016T024243_T52UCA,sentinel2,blagoveshchensk,baseline_2018_09_low,post,2.11859
2018-10-16,2018-10-16T02:43:43,,,,20181016T023659_20181016T024243_T51UYR,sentinel2,blagoveshchensk,baseline_2018_09_low,post,0.009582
2018-07-12,2018-07-12T21:35:56,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20180712T213556_20180712T213621_011783_015ADC_9A80,sentinel1,svobodny,baseline_2018_09_low,pre,
2018-07-17,2018-07-17T21:44:01,DESCENDING,B,105.0,S1B_IW_GRDH_1SDV_20180717T214401_20180717T214426_011856_015D29_471D,sentinel1,svobodny,baseline_2018_09_low,pre,
2018-07-24,2018-07-24T21:35:57,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20180724T213557_20180724T213622_011958_016030_1466,sentinel1,svobodny,baseline_2018_09_low,pre,
2018-07-29,2018-07-29T21:44:01,DESCENDING,B,105.0,S1B_IW_GRDH_1SDV_20180729T214401_20180729T214426_012031_01626D_B8A2,sentinel1,svobodny,baseline_2018_09_low,pre,
2018-09-15,2018-09-15T21:44:04,DESCENDING,B,105.0,S1B_IW_GRDH_1SDV_20180915T214404_20180915T214429_012731_0177FD_712F,sentinel1,svobodny,baseline_2018_09_low,peak,
2018-10-04,2018-10-04T21:36:01,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20181004T213601_20181004T213626_013008_018070_D2E9,sentinel1,svobodny,baseline_2018_09_low,post,
2018-10-09,2018-10-09T21:44:04,DESCENDING,B,105.0,S1B_IW_GRDH_1SDV_20181009T214404_20181009T214429_013081_0182B5_F414,sentinel1,svobodny,baseline_2018_09_low,post,
2018-10-16,2018-10-16T21:36:01,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20181016T213601_20181016T213626_013183_0185CB_1689,sentinel1,svobodny,baseline_2018_09_low,post,
2018-10-01,2018-10-01T02:43:08,,,,20181001T023551_20181001T024128_T52UDC,sentinel2,svobodny,baseline_2018_09_low,post,1.415861
2018-10-01,2018-10-01T02:43:22,,,,20181001T023551_20181001T024128_T52UDB,sentinel2,svobodny,baseline_2018_09_low,post,0.000106
2018-10-03,2018-10-03T02:33:24,,,,20181003T022549_20181003T023123_T52UDB,sentinel2,svobodny,baseline_2018_09_low,post,1.839064
2018-10-11,2018-10-11T02:43:08,,,,20181011T023621_20181011T024203_T52UDC,sentinel2,svobodny,baseline_2018_09_low,post,1.227929
2018-10-11,2018-10-11T02:43:23,,,,20181011T023621_20181011T024203_T52UDB,sentinel2,svobodny,baseline_2018_09_low,post,1.243387
2018-10-16,2018-10-16T02:43:08,,,,20181016T023659_20181016T024243_T52UDC,sentinel2,svobodny,baseline_2018_09_low,post,4.618312
2018-07-12,2018-07-12T21:36:21,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20180712T213621_20180712T213646_011783_015ADC_4AAF,sentinel1,konstantinovka,baseline_2018_09_low,pre,
2018-07-17,2018-07-17T21:44:26,DESCENDING,B,105.0,S1B_IW_GRDH_1SDV_20180717T214426_20180717T214451_011856_015D29_38E9,sentinel1,konstantinovka,baseline_2018_09_low,pre,
2018-07-24,2018-07-24T21:36:22,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20180724T213622_20180724T213647_011958_016030_24DA,sentinel1,konstantinovka,baseline_2018_09_low,pre,
2018-07-29,2018-07-29T21:44:26,DESCENDING,B,105.0,S1B_IW_GRDH_1SDV_20180729T214426_20180729T214451_012031_01626D_C36B,sentinel1,konstantinovka,baseline_2018_09_low,pre,
2018-09-15,2018-09-15T21:44:29,DESCENDING,B,105.0,S1B_IW_GRDH_1SDV_20180915T214429_20180915T214454_012731_0177FD_10BD,sentinel1,konstantinovka,baseline_2018_09_low,peak,
2018-09-08,2018-09-08T02:33:44,,,,20180908T022551_20180908T023121_T52UCA,sentinel2,konstantinovka,baseline_2018_09_low,peak,0.565035
2018-09-08,2018-09-08T02:33:59,,,,20180908T022551_20180908T023121_T52UCV,sentinel2,konstantinovka,baseline_2018_09_low,peak,1.716702
2018-09-16,2018-09-16T02:43:45,,,,20180916T023539_20180916T023540_T52UDV,sentinel2,konstantinovka,baseline_2018_09_low,peak,3.250376
2018-09-16,2018-09-16T02:43:50,,,,20180916T023539_20180916T023540_T52UCV,sentinel2,konstantinovka,baseline_2018_09_low,peak,0.45834
2018-10-04,2018-10-04T21:36:26,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20181004T213626_20181004T213651_013008_018070_1DE4,sentinel1,konstantinovka,baseline_2018_09_low,post,
2018-10-09,2018-10-09T21:44:29,DESCENDING,B,105.0,S1B_IW_GRDH_1SDV_20181009T214429_20181009T214454_013081_0182B5_C68C,sentinel1,konstantinovka,baseline_2018_09_low,post,
2018-10-16,2018-10-16T21:36:26,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20181016T213626_20181016T213651_013183_0185CB_B56D,sentinel1,konstantinovka,baseline_2018_09_low,post,
2018-10-01,2018-10-01T02:43:36,,,,20181001T023551_20181001T024128_T52UDA,sentinel2,konstantinovka,baseline_2018_09_low,post,3.6e-05
2018-10-01,2018-10-01T02:43:41,,,,20181001T023551_20181001T024128_T52UCA,sentinel2,konstantinovka,baseline_2018_09_low,post,0.000464
2018-10-01,2018-10-01T02:43:50,,,,20181001T023551_20181001T024128_T52UDV,sentinel2,konstantinovka,baseline_2018_09_low,post,4.6e-05
2018-10-01,2018-10-01T02:43:55,,,,20181001T023551_20181001T024128_T52UCV,sentinel2,konstantinovka,baseline_2018_09_low,post,0.000355
2018-10-03,2018-10-03T02:33:38,,,,20181003T022549_20181003T023123_T52UDA,sentinel2,konstantinovka,baseline_2018_09_low,post,0.000116
2018-10-03,2018-10-03T02:33:42,,,,20181003T022549_20181003T023123_T52UCA,sentinel2,konstantinovka,baseline_2018_09_low,post,0.00313
2018-10-03,2018-10-03T02:33:53,,,,20181003T022549_20181003T023123_T52UDV,sentinel2,konstantinovka,baseline_2018_09_low,post,0.000133
2018-10-03,2018-10-03T02:33:56,,,,20181003T022549_20181003T023123_T52UCV,sentinel2,konstantinovka,baseline_2018_09_low,post,0.001093
2018-10-11,2018-10-11T02:43:36,,,,20181011T023621_20181011T024203_T52UDA,sentinel2,konstantinovka,baseline_2018_09_low,post,7.2e-05
2018-10-11,2018-10-11T02:43:51,,,,20181011T023621_20181011T024203_T52UDV,sentinel2,konstantinovka,baseline_2018_09_low,post,0.006579
2018-10-11,2018-10-11T02:43:56,,,,20181011T023621_20181011T024203_T52UCV,sentinel2,konstantinovka,baseline_2018_09_low,post,0.239366
2018-10-13,2018-10-13T02:33:54,,,,20181013T022629_20181013T023153_T52UDV,sentinel2,konstantinovka,baseline_2018_09_low,post,2.81078
2018-10-13,2018-10-13T02:33:58,,,,20181013T022629_20181013T023153_T52UCV,sentinel2,konstantinovka,baseline_2018_09_low,post,7.037891
2018-10-16,2018-10-16T02:43:41,,,,20181016T023659_20181016T024243_T52UCA,sentinel2,konstantinovka,baseline_2018_09_low,post,2.11859
2019-06-01,2019-06-01T21:36:00,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20190601T213600_20190601T213625_016508_01F128_F4E1,sentinel1,blagoveshchensk,flood_2019_07_amur,pre,
2019-06-01,2019-06-01T21:36:25,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20190601T213625_20190601T213650_016508_01F128_2225,sentinel1,blagoveshchensk,flood_2019_07_amur,pre,
2019-06-06,2019-06-06T21:44:29,DESCENDING,B,105.0,S1B_IW_GRDH_1SDV_20190606T214429_20190606T214454_016581_01F36B_8412,sentinel1,blagoveshchensk,flood_2019_07_amur,pre,
2019-06-13,2019-06-13T21:36:01,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20190613T213601_20190613T213626_016683_01F65C_57D6,sentinel1,blagoveshchensk,flood_2019_07_amur,pre,
2019-06-13,2019-06-13T21:36:26,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20190613T213626_20190613T213651_016683_01F65C_378A,sentinel1,blagoveshchensk,flood_2019_07_amur,pre,
2019-06-18,2019-06-18T21:44:30,DESCENDING,B,105.0,S1B_IW_GRDH_1SDV_20190618T214430_20190618T214455_016756_01F89E_F5C0,sentinel1,blagoveshchensk,flood_2019_07_amur,pre,
2019-06-03,2019-06-03T02:43:39,,,,20190603T023559_20190603T024139_T52UCB,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,21.450107
2019-06-03,2019-06-03T02:43:40,,,,20190603T023559_20190603T024139_T51UYS,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,19.936719
2019-06-03,2019-06-03T02:43:48,,,,20190603T023559_20190603T024139_T52UDA,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,16.661833
2019-06-03,2019-06-03T02:43:53,,,,20190603T023559_20190603T024139_T52UCA,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,19.923429
2019-06-03,2019-06-03T02:43:55,,,,20190603T023559_20190603T024139_T51UYR,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,19.487012
2019-06-05,2019-06-05T02:33:45,,,,20190605T022551_20190605T022551_T52UDA,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,5.219562
2019-06-05,2019-06-05T02:33:49,,,,20190605T022551_20190605T022551_T52UCA,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,0.826026
2019-06-05,2019-06-05T02:33:54,,,,20190605T022551_20190605T022551_T51UYR,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,0.049309
2019-06-08,2019-06-08T02:43:33,,,,20190608T023551_20190608T023945_T52UCB,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,4.265649
2019-06-08,2019-06-08T02:43:34,,,,20190608T023551_20190608T023945_T51UYS,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,4.589218
2019-06-08,2019-06-08T02:43:42,,,,20190608T023551_20190608T023945_T52UDA,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,3.733505
2019-06-08,2019-06-08T02:43:47,,,,20190608T023551_20190608T023945_T52UCA,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,35.457371
2019-06-08,2019-06-08T02:43:49,,,,20190608T023551_20190608T023945_T51UYR,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,48.793253
2019-06-10,2019-06-10T02:33:51,,,,20190610T022559_20190610T022557_T52UDA,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,9.290577
2019-06-10,2019-06-10T02:33:55,,,,20190610T022559_20190610T022557_T52UCA,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,13.180913
2019-06-10,2019-06-10T02:34:00,,,,20190610T022559_20190610T022557_T51UYR,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,4.035389
2019-06-15,2019-06-15T02:33:47,,,,20190615T022551_20190615T022552_T52UDA,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,17.685315
2019-06-15,2019-06-15T02:33:51,,,,20190615T022551_20190615T022552_T52UCA,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,5.64869
2019-06-15,2019-06-15T02:33:55,,,,20190615T022551_20190615T022552_T51UYR,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,2.975137
2019-06-18,2019-06-18T02:43:34,,,,20190618T023551_20190618T023552_T52UCB,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,42.435682
2019-06-18,2019-06-18T02:43:36,,,,20190618T023551_20190618T023552_T51UYS,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,42.167855
2019-06-18,2019-06-18T02:43:43,,,,20190618T023551_20190618T023552_T52UDA,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,13.228136
2019-06-18,2019-06-18T02:43:48,,,,20190618T023551_20190618T023552_T52UCA,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,43.420056
2019-06-18,2019-06-18T02:43:50,,,,20190618T023551_20190618T023552_T51UYR,sentinel2,blagoveshchensk,flood_2019_07_amur,pre,41.145063
2019-07-24,2019-07-24T21:44:32,DESCENDING,B,105.0,S1B_IW_GRDH_1SDV_20190724T214432_20190724T214457_017281_020807_0B2D,sentinel1,blagoveshchensk,flood_2019_07_amur,peak,
2019-07-25,2019-07-25T21:36:59,DESCENDING,A,32.0,S1A_IW_GRDH_1SDV_20190725T213659_20190725T213733_028279_0331D7_8C10,sentinel1,blagoveshchensk,flood_2019_07_amur,peak,
2019-07-28,2019-07-28T09:18:28,ASCENDING,B,156.0,S1B_IW_GRDH_1SDV_20190728T091828_20190728T091902_017332_020982_50B5,sentinel1,blagoveshchensk,flood_2019_07_amur,peak,
2019-07-29,2019-07-29T09:10:58,ASCENDING,A,83.0,S1A_IW_GRDH_1SDV_20190729T091058_20190729T091132_028330_033373_9043,sentinel1,blagoveshchensk,flood_2019_07_amur,peak,
2019-07-31,2019-07-31T21:36:04,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20190731T213604_20190731T213629_017383_020B01_4B1E,sentinel1,blagoveshchensk,flood_2019_07_amur,peak,
2019-07-31,2019-07-31T21:36:29,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20190731T213629_20190731T213654_017383_020B01_5D04,sentinel1,blagoveshchensk,flood_2019_07_amur,peak,
2019-08-21,2019-08-21T09:18:30,ASCENDING,B,156.0,S1B_IW_GRDH_1SDV_20190821T091830_20190821T091904_017682_021440_31AE,sentinel1,blagoveshchensk,flood_2019_07_amur,post,
2019-08-29,2019-08-29T21:44:34,DESCENDING,B,105.0,S1B_IW_GRDH_1SDV_20190829T214434_20190829T214459_017806_021829_7254,sentinel1,blagoveshchensk,flood_2019_07_amur,post,
2019-09-05,2019-09-05T21:36:06,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20190905T213606_20190905T213631_017908_021B40_5ECF,sentinel1,blagoveshchensk,flood_2019_07_amur,post,
2019-09-05,2019-09-05T21:36:31,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20190905T213631_20190905T213656_017908_021B40_6B33,sentinel1,blagoveshchensk,flood_2019_07_amur,post,
2019-08-24,2019-08-24T02:33:45,,,,20190824T022551_20190824T022551_T52UDA,sentinel2,blagoveshchensk,flood_2019_07_amur,post,35.995922
2019-08-24,2019-08-24T02:33:49,,,,20190824T022551_20190824T022551_T52UCA,sentinel2,blagoveshchensk,flood_2019_07_amur,post,31.59497
2019-08-24,2019-08-24T02:33:54,,,,20190824T022551_20190824T022551_T51UYR,sentinel2,blagoveshchensk,flood_2019_07_amur,post,52.482601
2019-08-29,2019-08-29T02:33:47,,,,20190829T022559_20190829T022553_T52UDA,sentinel2,blagoveshchensk,flood_2019_07_amur,post,46.548635
2019-08-29,2019-08-29T02:33:51,,,,20190829T022559_20190829T022553_T52UCA,sentinel2,blagoveshchensk,flood_2019_07_amur,post,57.998198
2019-09-01,2019-09-01T02:43:34,,,,20190901T023549_20190901T024222_T52UCB,sentinel2,blagoveshchensk,flood_2019_07_amur,post,51.277642
2019-09-01,2019-09-01T02:43:35,,,,20190901T023549_20190901T024222_T51UYS,sentinel2,blagoveshchensk,flood_2019_07_amur,post,41.787281
2019-09-03,2019-09-03T02:33:52,,,,20190903T022551_20190903T023331_T51UYR,sentinel2,blagoveshchensk,flood_2019_07_amur,post,42.949857
2019-09-06,2019-09-06T02:43:30,,,,20190906T023551_20190906T024105_T52UCB,sentinel2,blagoveshchensk,flood_2019_07_amur,post,13.207551
2019-09-06,2019-09-06T02:43:31,,,,20190906T023551_20190906T024105_T51UYS,sentinel2,blagoveshchensk,flood_2019_07_amur,post,17.076974
2019-09-06,2019-09-06T02:43:39,,,,20190906T023551_20190906T024105_T52UDA,sentinel2,blagoveshchensk,flood_2019_07_amur,post,14.915173
2019-09-06,2019-09-06T02:43:44,,,,20190906T023551_20190906T024105_T52UCA,sentinel2,blagoveshchensk,flood_2019_07_amur,post,12.507832
2019-09-06,2019-09-06T02:43:46,,,,20190906T023551_20190906T024105_T51UYR,sentinel2,blagoveshchensk,flood_2019_07_amur,post,12.899672
2019-06-01,2019-06-01T21:36:00,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20190601T213600_20190601T213625_016508_01F128_F4E1,sentinel1,svobodny,flood_2019_07_amur,pre,
2019-06-06,2019-06-06T21:44:04,DESCENDING,B,105.0,S1B_IW_GRDH_1SDV_20190606T214404_20190606T214429_016581_01F36B_13AD,sentinel1,svobodny,flood_2019_07_amur,pre,
2019-06-13,2019-06-13T21:36:01,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20190613T213601_20190613T213626_016683_01F65C_57D6,sentinel1,svobodny,flood_2019_07_amur,pre,
2019-06-18,2019-06-18T21:44:05,DESCENDING,B,105.0,S1B_IW_GRDH_1SDV_20190618T214405_20190618T214430_016756_01F89E_2797,sentinel1,svobodny,flood_2019_07_amur,pre,
2019-05-31,2019-05-31T02:33:23,,,,20190531T022559_20190531T022557_T52UDC,sentinel2,svobodny,flood_2019_07_amur,pre,59.445979
2019-05-31,2019-05-31T02:33:37,,,,20190531T022559_20190531T022557_T52UDB,sentinel2,svobodny,flood_2019_07_amur,pre,59.491158
2019-06-03,2019-06-03T02:43:20,,,,20190603T023559_20190603T024139_T52UDC,sentinel2,svobodny,flood_2019_07_amur,pre,7.664175
2019-06-03,2019-06-03T02:43:34,,,,20190603T023559_20190603T024139_T52UDB,sentinel2,svobodny,flood_2019_07_amur,pre,10.550292
2019-06-05,2019-06-05T02:33:16,,,,20190605T022551_20190605T022551_T52UDC,sentinel2,svobodny,flood_2019_07_amur,pre,41.117443
2019-06-05,2019-06-05T02:33:31,,,,20190605T022551_20190605T022551_T52UDB,sentinel2,svobodny,flood_2019_07_amur,pre,23.430079
2019-06-08,2019-06-08T02:43:14,,,,20190608T023551_20190608T023945_T52UDC,sentinel2,svobodny,flood_2019_07_amur,pre,7.905286
2019-06-08,2019-06-08T02:43:28,,,,20190608T023551_20190608T023945_T52UDB,sentinel2,svobodny,flood_2019_07_amur,pre,1.701036
2019-06-15,2019-06-15T02:33:18,,,,20190615T022551_20190615T022552_T52UDC,sentinel2,svobodny,flood_2019_07_amur,pre,0.335813
2019-06-15,2019-06-15T02:33:32,,,,20190615T022551_20190615T022552_T52UDB,sentinel2,svobodny,flood_2019_07_amur,pre,1.382322
2019-06-18,2019-06-18T02:43:15,,,,20190618T023551_20190618T023552_T52UDC,sentinel2,svobodny,flood_2019_07_amur,pre,15.836537
2019-06-18,2019-06-18T02:43:29,,,,20190618T023551_20190618T023552_T52UDB,sentinel2,svobodny,flood_2019_07_amur,pre,35.057205
2019-07-24,2019-07-24T21:44:07,DESCENDING,B,105.0,S1B_IW_GRDH_1SDV_20190724T214407_20190724T214432_017281_020807_1270,sentinel1,svobodny,flood_2019_07_amur,peak,
2019-07-25,2019-07-25T21:36:30,DESCENDING,A,32.0,S1A_IW_GRDH_1SDV_20190725T213630_20190725T213659_028279_0331D7_952F,sentinel1,svobodny,flood_2019_07_amur,peak,
2019-07-28,2019-07-28T09:18:28,ASCENDING,B,156.0,S1B_IW_GRDH_1SDV_20190728T091828_20190728T091902_017332_020982_50B5,sentinel1,svobodny,flood_2019_07_amur,peak,
2019-07-29,2019-07-29T09:10:58,ASCENDING,A,83.0,S1A_IW_GRDH_1SDV_20190729T091058_20190729T091132_028330_033373_9043,sentinel1,svobodny,flood_2019_07_amur,peak,
2019-07-31,2019-07-31T21:36:04,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20190731T213604_20190731T213629_017383_020B01_4B1E,sentinel1,svobodny,flood_2019_07_amur,peak,
2019-07-30,2019-07-30T02:33:23,,,,20190730T022559_20190730T022557_T52UDC,sentinel2,svobodny,flood_2019_07_amur,peak,33.429737
2019-07-30,2019-07-30T02:33:37,,,,20190730T022559_20190730T022557_T52UDB,sentinel2,svobodny,flood_2019_07_amur,peak,49.375749
2019-08-21,2019-08-21T09:18:30,ASCENDING,B,156.0,S1B_IW_GRDH_1SDV_20190821T091830_20190821T091904_017682_021440_31AE,sentinel1,svobodny,flood_2019_07_amur,post,
2019-08-29,2019-08-29T21:44:09,DESCENDING,B,105.0,S1B_IW_GRDH_1SDV_20190829T214409_20190829T214434_017806_021829_2B85,sentinel1,svobodny,flood_2019_07_amur,post,
2019-09-05,2019-09-05T21:36:06,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20190905T213606_20190905T213631_017908_021B40_5ECF,sentinel1,svobodny,flood_2019_07_amur,post,
2019-08-24,2019-08-24T02:33:16,,,,20190824T022551_20190824T022551_T52UDC,sentinel2,svobodny,flood_2019_07_amur,post,9.361872
2019-08-24,2019-08-24T02:33:31,,,,20190824T022551_20190824T022551_T52UDB,sentinel2,svobodny,flood_2019_07_amur,post,25.21301
2019-08-29,2019-08-29T02:33:18,,,,20190829T022559_20190829T022553_T52UDC,sentinel2,svobodny,flood_2019_07_amur,post,31.271663
2019-08-29,2019-08-29T02:33:33,,,,20190829T022559_20190829T022553_T52UDB,sentinel2,svobodny,flood_2019_07_amur,post,12.499315
2019-09-01,2019-09-01T02:43:15,,,,20190901T023549_20190901T024222_T52UDC,sentinel2,svobodny,flood_2019_07_amur,post,32.390682
2019-09-06,2019-09-06T02:43:11,,,,20190906T023551_20190906T024105_T52UDC,sentinel2,svobodny,flood_2019_07_amur,post,0.400058
2019-09-06,2019-09-06T02:43:25,,,,20190906T023551_20190906T024105_T52UDB,sentinel2,svobodny,flood_2019_07_amur,post,4.661118
2019-06-01,2019-06-01T21:36:25,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20190601T213625_20190601T213650_016508_01F128_2225,sentinel1,konstantinovka,flood_2019_07_amur,pre,
2019-06-06,2019-06-06T21:44:29,DESCENDING,B,105.0,S1B_IW_GRDH_1SDV_20190606T214429_20190606T214454_016581_01F36B_8412,sentinel1,konstantinovka,flood_2019_07_amur,pre,
2019-06-13,2019-06-13T21:36:26,DESCENDING,B,32.0,S1B_IW_GRDH_1SDV_20190613T213626_20190613T213651_016683_01F65C_378A,sentinel1,konstantinovka,flood_2019_07_amur,pre,
2019-06-18,2019-06-18T21:44:30,DESCENDING,B,105.0,S1B_IW_GRDH_1SDV_20190618T214430_20190618T214455_016756_01F89E_F5C0,sentinel1,konstantinovka,flood_2019_07_amur,pre,
2019-06-03,2019-06-03T02:43:48,,,,20190603T023559_20190603T024139_T52UDA,sentinel2,konstantinovka,flood_2019_07_amur,pre,16.661833
2019-06-03,2019-06-03T02:43:53,,,,20190603T023559_20190603T024139_T52UCA,sentinel2,konstantinovka,flood_2019_07_amur,pre,19.923429
2019-06-03,2019-06-03T02:44:02,,,,20190603T023559_20190603T024139_T52UDV,sentinel2,konstantinovka,flood_2019_07_amur,pre,14.428763
2019-06-03,2019-06-03T02:44:07,,,,20190603T023559_20190603T024139_T52UCV,sentinel2,konstantinovka,flood_2019_07_amur,pre,17.186827
